ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32976550,1.224138603,Spanish Primera Division RFEF Group 2,2024-02-04,08:00:00,Ibiza Eivissa,Granada B,1.26,5.4,13.5,1.98,1.82,2.78,1.45,16.5,38.0,1.01,1.01,6.2,15.5,1.01,1.01,6.6,12.0,1.01,1.01,9.4,19.5,1.01,1.01,7.2,1.01
32976852,1.224144605,Spanish Women's Matches,2024-02-04,08:00:00,SD Eibar (W),Real Sociedad (W),4.2,3.65,1.68,1.66,2.08,1.69,2.04,20.0,11.5,13.0,20.0,22.0,11.0,11.5,20.0,1.01,22.0,21.0,1.01,1.01,1.01,1.01,1.01,1.01,10.5
32976153,1.224128832,Spanish Primera Division RFEF Group 2,2024-02-04,08:00:00,Malaga,Atletico Baleares,1.23,5.8,17.5,2.0,1.84,2.86,1.45,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32985163,1.224276705,Spanish Segunda RFEF - Group 5,2024-02-04,08:00:00,CD Atletico Paso,Numancia,2.98,2.24,2.48,1.61,1.33,1.01,1.54,980.0,980.0,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32977594,1.224160132,Spanish Primera Division RFEF Group 2,2024-02-04,08:00:00,Recreativo Huelva,Melilla UD,1.72,2.74,4.8,2.5,1.42,2.16,1.54,9.6,15.5,1.01,1.01,6.6,9.0,1.01,1.01,11.5,13.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32965158,1.223965896,Romanian Liga I,2024-02-04,08:00:00,Universitatea Cluj,UTA Arad,1.81,3.7,5.2,2.04,1.79,1.91,1.83,13.0,17.5,980.0,980.0,8.6,8.4,980.0,980.0,10.5,10.5,980.0,980.0,19.0,21.0,980.0,980.0,15.0,980.0
32987440,1.224309287,Thai Division 1,2024-02-04,08:00:00,Customs United,Lampang FC,1.05,1.05,1.08,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32959641,1.223880927,Dutch Eredivisie,2024-02-04,08:15:00,Vitesse Arnhem,Go Ahead Eagles,2.94,3.55,2.52,1.84,1.98,1.7,2.16,17.0,980.0,980.0,980.0,14.5,9.2,980.0,980.0,22.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,27.0,980.0
32958874,1.223868599,Italian Serie A,2024-02-04,08:30:00,Torino,Salernitana,1.53,4.3,8.4,2.24,1.77,2.4,1.69,11.5,21.0,70.0,330.0,6.4,9.6,34.0,170.0,7.4,10.5,34.0,180.0,13.0,19.0,55.0,270.0,10.5,300.0
32982847,1.224248508,Italian Serie A (W),2024-02-04,08:30:00,Sampdoria (W),Pomigliano (W),1.19,1.17,1.01,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32977970,1.224164511,English FA Women's Super League 1,2024-02-04,09:00:00,Man Utd (W),Brighton (W),1.17,1.01,1.04,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,980.0,1.01
32957910,1.223850823,French Ligue 1,2024-02-04,09:00:00,Monaco,Le Havre,1.49,4.9,7.4,1.77,2.18,1.95,1.94,18.5,27.0,65.0,240.0,8.8,11.0,29.0,110.0,9.0,9.6,25.0,100.0,13.5,16.0,34.0,140.0,7.2,130.0
32973537,1.224075217,English Championship,2024-02-04,09:00:00,Middlesbrough,Sunderland,2.18,3.6,3.7,1.91,2.04,1.76,2.26,15.0,15.5,27.0,70.0,10.5,8.2,15.0,42.0,13.5,10.5,17.0,50.0,27.0,22.0,36.0,90.0,15.5,38.0
32980696,1.224210270,Greek Super League 2,2024-02-04,09:00:00,Levadiakos,Iraklis,1.42,1.91,1.43,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32987436,1.224309467,Thai Division 1,2024-02-04,09:00:00,JL Chiangmai United,Kasetsart FC,1.06,1.05,1.05,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976855,1.224144965,Spanish Segunda RFEF - Group 5,2024-02-04,09:00:00,UD San Fernando,Guadalajara,2.44,2.68,2.72,2.22,1.52,1.86,1.76,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32984495,1.224270448,Belgian First Division A,2024-02-04,09:30:00,Antwerp,Club Brugge,3.8,3.65,2.04,1.8,2.0,1.73,2.12,16.5,11.0,14.0,25.0,16.5,9.2,11.5,23.0,28.0,16.5,18.5,36.0,70.0,44.0,55.0,90.0,40.0,14.0
